Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,Add_Tiling,69.045,8,8.631,0.09,27.501,94.406
0,acl,Mul_Tiling,150.655,8,18.832,0.15,53.841,447.615
0,acl,StatelessRandomNormalV2_Tiling,128.624,8,16.078,0.201,73.42,527.43
0,acl,aclmdlRICaptureGetInfo,19.208,12,1.601,0.09,8.573,6.018
0,acl,aclnnInplaceNormal,2290.581,4,572.645,42.074,2022.818,704110.943
0,acl,aclnnInplaceNormalGetWorkspaceSize,25938.387,4,6484.597,76.275,25460.699,120035957.135
0,acl,aclrtBinaryLoadFromData,274.322,3,91.441,71.017,120.11,435.683
0,acl,aclrtCreateStreamWithConfig,5012.409,2,2506.204,2158.372,2854.037,120987.448
0,acl,aclrtCtxGetSysParamOpt,11.705,40,0.293,0.1,4.116,0.574
0,acl,aclrtCtxSetSysParamOpt,2.765,2,1.383,0.271,2.494,1.236
0,acl,aclrtDestroyStreamForce,460.091,1,460.091,460.091,460.091,0.0
0,acl,aclrtFree,634.743,3,211.581,3.635,378.278,24243.636
0,acl,aclrtGetCurrentContext,1.613,1,1.613,1.613,1.613,0.0
0,acl,aclrtGetResInCurrentThread,8.913,8,1.114,0.07,2.844,1.317
0,acl,aclrtGetStreamAttribute,6.159,4,1.54,0.28,3.275,1.341
0,acl,aclrtLaunchKernelWithHostArgs,91.056,12,7.588,2.203,41.202,107.727
0,acl,aclrtPointerGetAttributes,1728.213,6702,0.258,0.131,15.863,0.091
0,acl,aclrtResetDevice,5.829,1,5.829,5.829,5.829,0.0
0,acl,aclrtSetDevice,86.971,1,86.971,86.971,86.971,0.0
0,acl,aclrtSetOpExecuteTimeOutV2,1159.111,1,1159.111,1159.111,1159.111,0.0
0,acl,aclrtSetStreamFailureMode,4.607,2,2.304,1.352,3.255,0.905
0,acl,aclrtSynchronizeDeviceWithTimeout,3076214.623,2240,1373.31,1.042,2454.656,1054725.831
0,node,launch,8635.895,2246,3.845,2.013,662.545,254.645
